,Brand,Model,Year,Status,Mileage,Age,AveragePrice
0,Acura,ILX,2013,Used,86557.0,11,13900.0
1,Acura,ILX,2014,Used,148266.0,10,10996.0
2,Acura,ILX,2015,Used,77223.0,9,13650.0
3,Acura,ILX,2016,Used,56546.0,8,16900.0
4,Acura,ILX,2016,Used,72301.0,8,16999.0
5,Acura,ILX,2016,Used,94832.0,8,11995.0
6,Acura,ILX,2017,Used,42789.0,7,19199.0
7,Acura,ILX,2017,Used,51930.0,7,18770.0
8,Acura,ILX,2017,Used,56115.0,7,17653.0
9,Acura,ILX,2017,Used,66456.0,7,16990.0
10,Acura,ILX,2017,Used,81719.0,7,15500.0
11,Acura,ILX,2017,Used,93337.0,7,14991.0
12,Acura,ILX,2018,Used,32907.0,6,18305.0
13,Acura,ILX,2018,Used,66075.0,6,20588.0
14,Acura,ILX,2018,Used,71852.0,6,19500.0
15,Acura,ILX,2018,Used,72018.0,6,16780.0
16,Acura,ILX,2019,Certified,26730.0,5,23921.0
17,Acura,ILX,2019,Certified,39410.0,5,23322.0
18,Acura,ILX,2019,Used,10561.0,5,25090.0
19,Acura,ILX,2019,Used,24765.0,5,21000.0
20,Acura,ILX,2019,Used,26873.0,5,24787.0
21,Acura,ILX,2019,Used,29645.0,5,22500.0
22,Acura,ILX,2019,Used,31672.0,5,23222.0
23,Acura,ILX,2019,Used,40728.0,5,22765.0
24,Acura,ILX,2019,Used,40771.0,5,23562.0
25,Acura,ILX,2019,Used,42185.0,5,21991.0
26,Acura,ILX,2019,Used,44374.0,5,20980.0
27,Acura,ILX,2019,Used,48943.0,5,20695.0
28,Acura,ILX,2019,Used,52799.0,5,20654.0
29,Acura,ILX,2019,Used,61230.0,5,21446.0
30,Acura,ILX,2020,Certified,17043.0,4,22995.0
31,Acura,ILX,2020,Used,8068.0,4,25483.0
32,Acura,ILX,2020,Used,19544.0,4,22490.0
33,Acura,ILX,2020,Used,26363.0,4,24141.0
34,Acura,ILX,2020,Used,28641.0,4,21999.0
35,Acura,ILX,2020,Used,29500.0,4,25598.0
36,Acura,ILX,2020,Used,34290.0,4,21719.0
37,Acura,ILX,2020,Used,43010.0,4,21400.0
38,Acura,ILX,2020,Used,48662.0,4,20400.0
